Comment,Designator,Footprint,LCSC
Q_PMOS_GSD,"Q1,Q2",SOT-23,C15127
100nF,"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C8",C_0402_1005Metric,C1525
10k,"R1,R2",R_0603_1608Metric,C25804
4.7k,R5,R_0402_1005Metric,C25900
5.1k,"R3,R4",R_0402_1005Metric,C25905
JST,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C3029343
100nF,"C1,C10,C2,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C307331
SW_SPST,"BOOT1,RST1",SW_SPST_TL3342,C318884
MX_SK6812MINI-E,"LED1,LED10,LED11,LED12,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_MX_6028R-ROT,C5149201
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D62,D63,D64,D65,D67,D68,D69,D7,D8,D9",D_SOD-123,C81598
STM32F072CBT6,U1,LQFP-48_7x7mm_P0.5mm,C81720
